anio,mun,Estratos,sexo,edad,total,total_low,total_upp,dim,NOMBRE
2015.0,2.0,Pobreza muy alta,Hombre,12-29,1485.0,869375515040000.0,210062448496000.0,NBI,Azcapotzalco
2015.0,2.0,Pobreza muy alta,Hombre,45-59,687.0,383581497435000.0,990418502565000.0,NBI,Azcapotzalco
2015.0,2.0,Pobreza muy alta,Hombre,60 y mas,381.0,150589760178000.0,611410239822000.0,NBI,Azcapotzalco
2015.0,2.0,Pobreza muy alta,Mujer,0-11,705.0,320707526712000.0,108929247329000.0,NBI,Azcapotzalco
2015.0,2.0,Pobreza muy alta,Mujer,30-44,1593.0,981405294162000.0,2204594705840.0,NBI,Azcapotzalco
2015.0,2.0,Pobreza muy alta,Mujer,45-59,885.0,496809133194000.0,127319086681000.0,NBI,Azcapotzalco
2015.0,2.0,Pobreza alta,Hombre,45-59,2592.0,167949423983000.0,350450576017000.0,NBI,Azcapotzalco
2015.0,2.0,Pobreza alta,Mujer,60 y mas,2332.0,149299907080000.0,317100092920000.0,NBI,Azcapotzalco
2015.0,2.0,Pobreza moderada,Hombre,30-44,18509.0,152077627668000.0,218102372332000.0,NBI,Azcapotzalco
2015.0,2.0,Pobreza moderada,Mujer,0-11,11922.0,94537176974800.0,143902823025000.0,NBI,Azcapotzalco
2015.0,2.0,Pobreza moderada,Mujer,12-29,23360.0,191321966197000.0,275878033803000.0,NBI,Azcapotzalco
2015.0,2.0,Satisfaccion mínima,Hombre,30-44,5544.0,454004849358000.0,654795150642000.0,NBI,Azcapotzalco
2015.0,2.0,Satisfaccion mínima,Hombre,45-59,5966.0,45369131326800.0,73950868673200.0,NBI,Azcapotzalco
2015.0,2.0,Satisfaccion mínima,Hombre,60 y mas,4930.0,349375371489000.0,636624628511000.0,NBI,Azcapotzalco
2015.0,2.0,Satisfaccion mínima,Mujer,30-44,7628.0,622246461023000.0,903353538977000.0,NBI,Azcapotzalco
2015.0,2.0,Satisfaccion mínima,Mujer,45-59,7590.0,600807964171000.0,917192035829000.0,NBI,Azcapotzalco
2015.0,2.0,Estrato medio,Hombre,12-29,11019.0,86096114314100.0,134283885686000.0,NBI,Azcapotzalco
2015.0,2.0,Estrato medio,Hombre,45-59,12598.0,107705315720000.0,144254684280000.0,NBI,Azcapotzalco
2015.0,2.0,Estrato medio,Hombre,60 y mas,11242.0,927329091427000.0,132107090857000.0,NBI,Azcapotzalco
2015.0,2.0,Estrato medio,Mujer,30-44,15590.0,127403359932000.0,184396640068000.0,NBI,Azcapotzalco
2015.0,2.0,Estrato medio,Mujer,45-59,16647.0,137425885065000.0,195514114935000.0,NBI,Azcapotzalco
2015.0,2.0,Estrato medio,Mujer,60 y mas,17037.0,141013259475000.0,199726740525000.0,NBI,Azcapotzalco
2015.0,2.0,Estrato alto,Hombre,12-29,91.0,-752398304355000.0,257239830436000.0,NBI,Azcapotzalco
2015.0,2.0,Estrato alto,Hombre,45-59,132.0,-119734304809000.0,275973430481000.0,NBI,Azcapotzalco
2015.0,2.0,Estrato alto,Mujer,0-11,22.0,-370000023775000.0,810000023775000.0,NBI,Azcapotzalco
2015.0,2.0,Estrato alto,Mujer,45-59,275.0,103855228099000.0,539614477190000.0,NBI,Azcapotzalco
2015.0,2.0,Estrato alto,Mujer,60 y mas,124.0,-668055243874000.0,314805524387000.0,NBI,Azcapotzalco
2015.0,3.0,Pobreza muy alta,Hombre,0-11,1781.0,125198897903000.0,231001102097000.0,NBI,Coyoacán
2015.0,3.0,Pobreza muy alta,Hombre,12-29,3598.0,262094939275000.0,457505060725000.0,NBI,Coyoacán
2015.0,3.0,Pobreza muy alta,Mujer,30-44,2959.0,223075959428000.0,368724040572000.0,NBI,Coyoacán
2015.0,3.0,Pobreza alta,Hombre,60 y mas,1675.0,125282559523000.0,209717440477000.0,NBI,Coyoacán
2015.0,3.0,Pobreza alta,Mujer,30-44,6495.0,497529375636000.0,801470624364000.0,NBI,Coyoacán
2015.0,3.0,Pobreza alta,Mujer,60 y mas,2966.0,210925617537000.0,382274382463000.0,NBI,Coyoacán
2015.0,3.0,Pobreza moderada,Mujer,0-11,15939.0,131410962376000.0,187369037624000.0,NBI,Coyoacán
2015.0,3.0,Pobreza moderada,Mujer,No especificado,411.0,11483146811500.0,70716853188500.0,NBI,Coyoacán
2015.0,3.0,Satisfaccion mínima,Hombre,12-29,12349.0,101919652316000.0,145060347684000.0,NBI,Coyoacán
2015.0,3.0,Satisfaccion mínima,Hombre,No especificado,39.0,-103057987101000.0,883057987101000.0,NBI,Coyoacán
2015.0,3.0,Satisfaccion mínima,Mujer,0-11,5376.0,44696081705900.0,62823918294100.0,NBI,Coyoacán
