id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14714,Private room c/ bathroom . Colonia Juarez.,57785,Diego,,Cuauhtémoc,19.43035,-99.15511,Private room,478,2,0,,,2,327
22787,"Sunny suite w/ queen size bed, inside boutique B&B",87973,Diego,,Cuauhtémoc,19.44076,-99.16324,Private room,1969,1,57,2019-05-27,0.52,9,355
33681,Couple of Rooms,145672,Edubiel,,Tlalpan,19.27215,-99.21848,Private room,1740,1,0,,,1,365
35797,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.38399,-99.27335,Entire home/apt,3823,1,0,,,2,363
44616,CONDESA HAUS  B&B,196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41006,-99.17645,Private room,1893,1,39,2019-05-02,0.42,10,334
58955,Entire beautiful duplex in la Roma,282620,Nat,,Cuauhtémoc,19.42292,-99.15775,Entire home/apt,1625,3,39,2019-05-28,0.43,1,178
61792,Spacious Clean Quiet room (own bath) in la Condesa,299558,Roberto,,Cuauhtémoc,19.41259,-99.17959,Private room,956,2,51,2019-04-05,2.55,3,180
67703,"2 bedroom apt. deco bldg, Condesa",334451,Nicholas,,Cuauhtémoc,19.41375,-99.17028,Entire home/apt,1816,2,39,2019-02-24,0.42,3,361
70644,Beautiful light Studio Coyoacan- full equipped !,212109,Trisha,,Coyoacán,19.35601,-99.16167,Entire home/apt,1051,3,92,2019-04-12,1.03,4,295
70737,Great studio Coyoacan!,212109,Trisha,,Coyoacán,19.35466,-99.16304,Entire home/apt,1128,3,31,2015-07-20,0.31,4,327
75615,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.36585,-99.27911,Private room,3823,1,0,,,2,88
98378,Up to -30% in last-minute stays & Summer Special,519159,Jorge & Monnah,,Miguel Hidalgo,19.40236,-99.18163,Entire home/apt,4569,2,138,2019-06-19,1.50,13,201
99972,Dreamy suite w/ king size bed in boutique B&B,87973,Diego,,Cuauhtémoc,19.44268,-99.16371,Private room,2753,1,0,,,9,324
107078,NEW  DESIGNER LOFT,540705,Andrea,,Miguel Hidalgo,19.4313,-99.19438,Entire home/apt,4110,4,8,2019-06-17,0.21,2,345
131610,MARIA DEL ALMA,647454,Fernando,,Coyoacán,19.35266,-99.16338,Private room,1568,1,0,,,3,0
165772,BEST 4BR 4 BH HOUSE IN S. MIGUEL CHAPULTEPEC,790208,Francisco Carlos Y Maria Jose,,Miguel Hidalgo,19.40675,-99.18798,Entire home/apt,1051,2,255,2019-06-08,2.65,4,247
171109,Cool room near WTC and Metrobus,816295,Carlos,,Benito Juárez,19.39549,-99.17616,Private room,287,4,58,2019-05-13,0.90,2,364
175504,"Casa Comtesse B&B, Gallery Hotel, 8 rooms",838896,Thomas Pierre,,Cuauhtémoc,19.40631,-99.17303,Private room,1415,1,51,2019-02-24,0.58,6,3
180808,"Huge Luxurious Suite 70's style, perfectly located",36836,Roberto,,Cuauhtémoc,19.42428,-99.16843,Entire home/apt,1032,3,34,2019-06-15,0.39,1,268
